date,home,away,predicted_margin,actual_margin,predicted_win_prob,model_correct,margin_error,predicted_total,actual_total,total_error,confidence,games_used_home,games_used_away
2024-09-13,DAL,NY,-11.05,-32.0,0.192,True,20.95,173.3,166.0,7.300000000000011,High,36,37
2024-09-13,ATL,WAS,3.1,-3.0,0.5996,False,6.1,156.9,141.0,15.900000000000006,Low,36,36
2024-09-13,IND,LV,-4.08,-4.0,0.3705,True,0.08000000000000007,172.1,152.0,20.099999999999994,Medium,37,36
2024-09-13,DAL,SEA,-6.18,-2.0,0.3094,True,4.18,171.3,164.0,7.300000000000011,Medium,36,36
2024-09-13,MIN,CHI,11.66,17.0,0.8199,True,5.34,160.3,149.0,11.300000000000011,High,37,36
2024-09-14,PHX,CON,-4.24,-19.0,0.3656,True,14.76,157.0,157.0,0.0,Medium,36,36
2024-09-15,IND,DAL,6.09,1.0,0.6881,True,5.09,178.6,219.0,40.400000000000006,Medium,38,38
2024-09-15,NY,MIN,3.82,-9.0,0.6218,False,12.82,164.8,167.0,2.1999999999999886,Medium,38,38
2024-09-15,WAS,ATL,2.85,-3.0,0.5914,False,5.85,156.3,149.0,7.300000000000011,Low,37,37
2024-09-15,CHI,PHX,2.55,-5.0,0.5821,False,7.55,157.1,181.0,23.900000000000006,Low,37,37
2024-09-15,LV,CON,1.61,13.0,0.552,True,11.39,158.9,155.0,3.9000000000000057,Low,37,37
2024-09-15,SEA,LA,11.67,3.0,0.8201,True,8.67,162.3,177.0,14.699999999999989,High,37,37
2024-09-17,CON,MIN,1.38,-2.0,0.5447,False,3.38,157.7,154.0,3.6999999999999886,Low,38,39
2024-09-17,WAS,NY,-7.08,-16.0,0.2848,True,8.92,161.0,158.0,3.0,High,38,39
2024-09-17,ATL,CHI,2.31,16.0,0.5745,True,13.69,156.5,156.0,0.5,Low,38,38
2024-09-18,SEA,LV,1.72,-13.0,0.5558,False,14.72,164.1,157.0,7.099999999999994,Low,38,38
2024-09-18,LA,PHX,-1.83,-4.0,0.4409,True,2.17,163.3,166.0,2.6999999999999886,Low,38,38
2024-09-19,CON,CHI,9.61,33.0,0.7772,True,23.39,156.2,141.0,15.199999999999989,High,39,39
2024-09-19,NY,ATL,11.37,-11.0,0.8143,False,22.369999999999997,161.2,145.0,16.19999999999999,High,40,39
2024-09-19,WAS,IND,0.96,1.0,0.5312,True,0.040000000000000036,167.4,183.0,15.599999999999994,Low,39,39
2024-09-20,MIN,LA,13.35,-17.0,0.8502,False,30.35,163.8,119.0,44.80000000000001,High,40,39
2024-09-20,LV,DAL,11.93,14.0,0.825,True,2.0700000000000003,173.6,182.0,8.400000000000006,High,39,39
2024-09-20,PHX,SEA,-3.46,-19.0,0.3895,True,15.54,163.9,159.0,4.900000000000006,Medium,39,39
2025-05-16,WAS,ATL,1.9,4.0,0.5613,True,2.1,156.0,184.0,28.0,Low,40,40
2025-05-16,DAL,MIN,-9.32,-15.0,0.2294,True,5.68,169.7,183.0,13.300000000000011,High,40,41
2025-05-17,NY,LV,4.81,14.0,0.6514,True,9.190000000000001,165.3,170.0,4.699999999999989,Medium,41,40
2025-05-17,IND,CHI,4.18,35.0,0.6325,True,30.82,169.0,151.0,18.0,Medium,40,40
2025-05-18,PHX,SEA,-4.09,22.0,0.3703,False,26.09,163.5,140.0,23.5,Medium,40,40
2025-05-18,CON,WAS,9.66,-5.0,0.7784,False,14.66,157.2,175.0,17.80000000000001,High,40,41
2025-05-18,LA,MIN,-8.18,-14.0,0.2566,True,5.82,157.9,164.0,6.099999999999994,High,41,42
2025-05-20,DAL,SEA,-6.89,-8.0,0.2899,True,1.1100000000000003,171.8,150.0,21.80000000000001,High,41,41
